Filt rate(m3/m2h),Filt rate (m/s),Initial depth (m),Final depth (m),Porosity,Media size (m),Actual loss (m)
0,0,0.6,0.73,0.7,0.00066,0
4.88897021624706,0.00135804728229085,0.6,0.705,0.676897006213519,0.00066,0.00254
9.77794043249412,0.0027160945645817,0.6,0.695,0.672248042274145,0.00066,0.02032
12.2224255406176,0.00339511820572712,0.6,0.689,0.669393888796126,0.00066,0.04064
14.6669106487411,0.00407414184687254,0.6,0.684,0.666977177456917,0.00066,0.05588
19.5558808649882,0.00543218912916339,0.6,0.678,0.664030072832642,0.00066,0.08382
24.4448510812353,0.00679023641145424,0.6,0.67,0.660018491612733,0.00066,0.10922
29.3338212974823,0.00814828369374509,0.6,0.663,0.656428943258719,0.00066,0.1905
34.2227915137294,0.00950633097603594,0.6,0.658,0.653818220943056,0.00066,0.20828
36.667276621853,0.0101853546171814,0.6,0.65,0.649557522123894,0.00066,0.24892
39.1117617299765,0.0108643782583268,0.6,0.648,0.648475909537856,0.00066,0.26416
44.0007319462234,0.0122224255406176,0.6,0.643,0.645742440716222,0.00066,0.3302
48.8897021624706,0.0135804728229085,0.6,0.639,0.643524866010221,0.00066,0.40132
53.7786723787175,0.0149385201051993,0.6,0.63,0.638432364096081,0.00066,0.50292
58.6676425949647,0.0162965673874902,0.6,0.625,0.63553982300885,0.00066,0.55372
61.1121277030882,0.0169755910286356,0.6,0.62,0.632600628033115,0.00066,0.58928
63.5566128112116,0.017654614669781,0.6,0.619,0.632007091083249,0.00066,0.6223
68.4455830274588,0.0190126619520719,0.6,0.614,0.629010406157217,0.00066,0.6985
73.3345532437057,0.0203707092343627,0.6,0.609,0.625964514582153,0.00066,0.76708
0,0,0.9,0.927,0.7,0.00066,0
4.88897021624706,0.00135804728229085,0.9,0.925,0.630614685481942,0.00066,0.00762
9.77794043249412,0.0027160945645817,0.9,0.924,0.630214917825537,0.00066,0.0762
12.2224255406176,0.00339511820572712,0.9,0.923,0.629814283933691,0.00066,0.10668
14.6669106487411,0.00407414184687254,0.9,0.919,0.628203029456797,0.00066,0.1524
19.5558808649882,0.00543218912916339,0.9,0.917,0.627392130938709,0.00066,0.17272
24.4448510812353,0.00679023641145424,0.9,0.914,0.626169129180303,0.00066,0.24638
29.3338212974823,0.00814828369374509,0.9,0.912,0.625349324639031,0.00066,0.30988
34.2227915137294,0.00950633097603594,0.9,0.91,0.624525916561315,0.00066,0.38608
36.667276621853,0.0101853546171814,0.9,0.908,0.623698881135238,0.00066,0.4318
39.1117617299765,0.0108643782583268,0.9,0.906,0.622868194338628,0.00066,0.4826
44.0007319462234,0.0122224255406176,0.9,0.9,0.620353982300885,0.00066,0.5588
48.8897021624706,0.0135804728229085,0.9,0.896,0.618659134007585,0.00066,0.65532
53.7786723787175,0.0149385201051993,0.9,0.89,0.61608829670876,0.00066,0.8001
58.6676425949647,0.0162965673874902,0.9,0.887,0.614789835480041,0.00066,0.889
61.1121277030882,0.0169755910286356,0.9,0.885,0.613919304034798,0.00066,0.9398
63.5566128112116,0.017654614669781,0.9,0.883,0.61304482907225,0.00066,0.99568
68.4455830274588,0.0190126619520719,0.9,0.88,0.611725663716814,0.00066,1.1049
73.3345532437057,0.0203707092343627,0.9,0.877,0.610397473284831,0.00066,1.22428
0,0,1.2,1.306,0.7,0.00066,0
4.88897021624706,0.00135804728229085,1.2,1.294,0.647932595642243,0.00066,0.0508
9.77794043249412,0.0027160945645817,1.2,1.284,0.645190637664379,0.00066,0.1016
12.2224255406176,0.00339511820572712,1.2,1.273,0.642124728013403,0.00066,0.127
14.6669106487411,0.00407414184687254,1.2,1.258,0.637857534786218,0.00066,0.17272
19.5558808649882,0.00543218912916339,1.2,1.246,0.634369806389295,0.00066,0.24638
24.4448510812353,0.00679023641145424,1.2,1.233,0.630514824623732,0.00066,0.3556
29.3338212974823,0.00814828369374509,1.2,1.215,0.625040970173714,0.00066,0.46482
34.2227915137294,0.00950633097603594,1.2,1.21,0.623491552695093,0.00066,0.5588
36.667276621853,0.0101853546171814,1.2,1.205,0.621929276980134,0.00066,0.61468
39.1117617299765,0.0108643782583268,1.2,1.199,0.620037346756515,0.00066,0.69342
44.0007319462234,0.0122224255406176,1.2,1.19,0.617163679631145,0.00066,0.8382
48.8897021624706,0.0135804728229085,1.2,1.178,0.613263818982226,0.00066,0.99822
53.7786723787175,0.0149385201051993,1.2,1.171,0.610951988694331,0.00066,1.1557
58.6676425949647,0.0162965673874902,1.2,1.168,0.609952721542005,0.00066,1.3462
61.1121277030882,0.0169755910286356,1.2,1.164,0.60861235288751,0.00066,1.44272
63.5566128112116,0.017654614669781,1.2,1.16,0.60726274031126,0.00066,1.5367
68.4455830274588,0.0190126619520719,1.2,1.155,0.605562579013907,0.00066,1.7018
73.3345532437057,0.0203707092343627,1.2,1.15,0.603847633705271,0.00066,1.8669
0,0,0.6,0.74,0.67,0.0012,0
4.88897021624706,0.00135804728229085,0.6,0.73,0.654503576191053,0.0012,0.00254
9.77794043249412,0.0027160945645817,0.6,0.729,0.654029644196803,0.0012,0.00508
12.2224255406176,0.00339511820572712,0.6,0.725,0.65212084223375,0.0012,0.00762
14.6669106487411,0.00407414184687254,0.6,0.723,0.651158520912129,0.0012,0.0254
19.5558808649882,0.00543218912916339,0.6,0.72,0.649705014749263,0.0012,0.04826
24.4448510812353,0.00679023641145424,0.6,0.717,0.648239345354908,0.0012,0.05588
29.3338212974823,0.00814828369374509,0.6,0.715,0.647255399467789,0.0012,0.08128
