Lookout
Dag	P	T	Q
510903	0	16.6	0.431149167029798
510904	0	16.35	0.431149167029798
510905	0	15.3	0.391953788208907
510906	0	15	0.391953788208907
510907	3.2004	15	0.431149167029798
510908	0	16.1	0.431149167029798
510909	0	14.9	0.391953788208907
510910	0	11.6	0.391953788208907
510911	0	11.7	0.391953788208907
510912	0	15.4	0.391953788208907
510913	0	18.25	0.352758409388017
510914	0	19	0.352758409388017
510915	0	18.2	0.352758409388017
510916	0	17.6	0.352758409388017
510917	0	19.95	0.352758409388017
510918	0	17.9	0.352758409388017
510919	0	15.35	0.352758409388017
510920	0	14.05	0.352758409388017
510921	0	15.65	0.352758409388017
510922	0	12.45	0.352758409388017
510923	0	12.5	0.352758409388017
510924	0	13.55	0.352758409388017
510925	11.84148	7	0.470344545850689
510926	0	11.7	0.431149167029798
510927	0	12	0.391953788208907
510928	2.88036	8.1	0.431149167029798
510929	1.92024	8.9	0.470344545850689
510930	42.24528	11.9	1.60701053165652
511001	37.12464	13.012658514	2.27333197161166
511002	63.36792	12.4571029584444	4.54666394322333
511003	45.12564	11.3459918473333	6.85919129365588
511004	0	9.95710295844444	3.09643492685037
511005	0	7.73488073622222	1.95976894104454
511006	0	10.7904362917778	1.52861977401474
511007	0	13.012658514	1.29344750108939
511008	0	14.4015474028889	1.13666598580583
511009	0	14.5	1.05827522816405
511010	0	14.5	0.940689091701378
511011	20.48256	9.40154740288889	1.17586136462672
511012	32.96412	5.79043629177778	2.39091810807433
511013	0	10.2348807362222	2.07735507750721
511014	0	10.2348807362222	5.0953992467158
511015	56.007	6.34599184733333	5.72252530785005
511016	0	8.29043629177778	4.35068704911887
511017	0	5.23488073622222	3.21402106331304
511018	15.36192	6.5	3.29241182095482
511019	19.2024	6.62376962511111	5.05620386789491
511020	51.2064	8.84599184733333	9.48528167465556
511021	21.12264	7.17932518066667	9.83804008404358
511022	29.44368	5.79043629177778	17.6771158482217
511023	77.76972	6.62376962511111	31.3563030567126
511024	2.24028	4.95710295844444	17.6379204694008
511025	0	4.40154740288889	11.2490737215956
511026	0	4.40154740288889	7.72148962771548
511027	0	4.67932518066667	5.99689295959628
511028	0	7.73488073622222	5.05620386789491
511029	0	8.84599184733333	4.27229629147709
511030	0	3.84599184733333	3.64517023034284
511031	0	3.56821406955556	3.21402106331304
511101	0	2.59176616888889	2.82206727510413
511102	0	5	2.66528575982057
511103	0	6.48065505777778	2.43011348689523
511104	7.68096	7.31398839111111	2.35172272925344
511105	0	5.64732172444444	2.1165504563281
511106	0	6.75843283555556	1.92057356222365
511107	0	7.31398839111111	1.88137818340276
511108	0	8.42509950222222	1.80298742576097
511109	0	8.14732172444445	1.72459666811919
511110	0	5.92509950222222	2.58689500217879
511111	88.65108	7.03621061333333	8.07424803710349
511112	44.16552	6.48065505777778	20.3815969868632
511113	34.24428	6.20287728	15.8741284224608
511114	11.2014	3.70287728	12.2289581921179
511115	2.56032	3.70287728	8.54459258295418
511116	0	2.86954394666667	6.66321439955143
511117	0	4.25843283555556	5.56574379256648
511118	0	5.5	4.82103159496956
511119	3.2004	5.36954394666667	4.38988242793976
511120	0	4.53621061333333	4.11551477619353
511121	0	4.53621061333333	3.91953788208907
511122	0	2.86954394666667	3.52758409388017
511123	0	3.70287728	3.21402106331304
511124	0	2.03621061333333	3.01804416920859
511125	0	3.14732172444444	3.01804416920859
511126	36.48456	6.75843283555556	4.27229629147709
511127	14.4018	6.48065505777778	5.21298538317847
511128	0	7.5	8.54459258295418
511129	89.93124	8.14732172444445	16.2268868318488
511130	26.56332	8	23.5172272925344
511201	27.2034	8.04978038088889	24.8890655512656
511202	0	7.21644704755556	17.1283805447293
511203	66.88836	4.43866926977778	18.0690696364306
511204	31.68396	4.160891492	19.2057356222365
511205	43.52544	3.88311371422222	19.009758728132
511206	0	3.60533593644444	10.1124077357898
511207	0	-1.67244184133333	8.0350526582826
511208	0	-1.5	6.42804212662608
511209	0	-1	5.40896227728292
511210	0	0.827558158666667	4.97781311025312
511211	0	2.49422482533333	5.21298538317847
511212	0	0.549780380888889	5.21298538317847
511213	0	0.549780380888889	5.21298538317847
511214	0	-1.39466406355556	4.82103159496956
511215	0	2.21644704755556	4.38988242793976
511216	0	1.38311371422222	4.54666394322333
511217	30.4038	2.49422482533333	4.38988242793976
511218	0	3.04978038088889	9.52447705347645
511219	0	2.77200260311111	8.23102955238706
511220	0	0.272002603111111	6.23206523252163
511221	93.45168	0.827558158666667	6.7808005360141
511222	0	3.60533593644444	16.2268868318488
511223	56.32704	3.32755815866667	10.4651661451778
511224	0	-0.839108508	10.1124077357898
511225	0	-3.06133073022222	6.15367447487985
511226	2.88036	-1.39466406355556	5.4873530349247
511227	13.44168	4.71644704755556	5.4873530349247
511228	0	3.60533593644444	6.31045599016341
511229	0	3.60533593644444	10.3475800087152
511230	0	-0.283552952444444	9.60286781111823
511231	75.52944	0.272002603111111	6.50643288426786
520101	0	-3.33543474522222	5.21298538317847
520102	0	-4.44654585633333	4.54666394322333
520103	0	-3.613212523	4.11551477619353
520104	15.36192	-1.39099030077778	3.8019517456264
520105	0	0.831231921444444	3.3708025785966
520106	0	1.386787477	3.13563030567126
520107	0	-0.557656967444444	2.90045803274591
520108	0	-0.835434745222222	2.70448113864146
520109	0	0.831231921444444	2.90045803274591
520110	0	1.66456525477778	3.29241182095482
520111	0	0.553454143666667	2.9788487903877
520112	0	-0.0021014118888889	2.74367651746235
520113	0	0.275676365888889	2.5476996233579
520114	18.56232	0.831231921444444	2.43011348689523
520115	0	0.275676365888889	2.19494121396988
520116	0	1.66456525477778	2.1165504563281
520117	0	-0.835434745222222	2.03815969868632
520118	0	0.831231921444444	1.99896431986543
520119	0	-0.557656967444444	1.95976894104454
520120	0	2.22012081033333	2.03815969868632
520121	48.32604	1.66456525477778	1.95976894104454
520122	26.88336	1.66456525477778	2.03815969868632
520123	23.04288	-0.279879189666667	2.35172272925344
520124	23.36292	1.94234303255556	4.82103159496956
520125	8.64108	2.77567636588889	5.13459462553669
520126	27.52344	2.22012081033333	4.97781311025312
520127	0	3.05345414366667	5.21298538317847
520128	0	4.99789858811111	4.89942235261134
520129	0	5.55345414366667	4.97781311025312
520130	0	7.49789858811111	9.28930478055111
520131	73.92924	6.66456525477778	17.1283805447293
520201	0	6.45104113333333	27.2015929016982
520202	0	4.50659668888889	26.4960760829221
520203	0	3.95104113333333	28.2598681298622
520204	91.85148	5.6177078	33.7864165436078
520205	0	4.50659668888889	23.9091810807434
520206	0	5.89548557777778	16.0701053165652
520207	0	6.45104113333333	11.7978090250881
520208	0	6.45104113333333	9.48528167465556
520209	0	7.5	8.42700644649151
520210	0	7.00659668888889	7.83907576417815
520211	4.48056	8.67326335555556	7.72148962771548
520212	17.28216	2.83993002222222	7.25114508186479
520213	0	-0.215625533333333	6.42804212662608
520214	0	1.17326335555556	6.42804212662608
520215	26.88336	3.67326335555556	6.58482364190964
520216	0	0.895485577777778	7.05516818776033
520217	0	0.0621522444444444	6.31045599016341
520218	27.2034	0.6177078	5.64413455020827
520219	8.64108	-1.60451442222222	5.21298538317847
520220	10.88136	-0.493403311111111	4.62505470086511
520221	0	-1.32673664444444	4.11551477619353
520222	36.8046	0.895485577777778	3.84114712444729
520223	0	3	3.8019517456264
520224	0	1.72881891111111	3.60597485152195
520225	0	6.45104113333333	3.72356098798462
520226	0	3.67326335555556	3.91953788208907
520227	0	5.89548557777778	4.38988242793976
520228	0	3.95104113333333	4.54666394322333
520229	0	2.56215224444444	4.38988242793976
520301	0	1.56999380988889	4.11551477619353
520302	0	-0.374450634555555	3.91953788208907
520303	23.04288	0.736660476555556	3.8019517456264
520304	0	2.40332714322222	3.8019517456264
520305	0	-0.0966728567777775	3.60597485152195
520306	0	0.181104921	3.40999795741749
520307	0	1.01443825433333	3.25321644213393
520308	0	4.62554936544444	3.09643492685037
520309	0	4.34777158766667	3.60597485152195
520310	0	2.681104921	5.4873530349247
520311	0	2.40332714322222	4.89942235261134
520312	0	2.681104921	4.35068704911887
520313	0	3.23666047655556	3.91953788208907
520314	0	3.51443825433333	3.64517023034284
520315	0	1.84777158766667	3.3708025785966
520316	0	4.34777158766667	3.25321644213393
520317	55.36692	4.62554936544444	3.21402106331304
520318	24.64308	5.5	3.25321644213393
520319	7.36092	4.5	3.09643492685037
520320	6.72084	2.40332714322222	2.90045803274591
520321	4.16052	1.29221603211111	2.78287189628324
520322	0	2.95888269877778	2.74367651746235
520323	0	6.84777158766667	3.76275636680551
520324	80.65008	4.06999380988889	17.1283805447293
520325	22.08276	6.01443825433333	17.8730927423262
520326	0	6.01443825433333	17.3243574388337
520327	0	7.681104921	15.5213700130727
520328	1.92024	10.181104921	15.0118300884012
520329	0	1.01443825433333	12.6601073591477
520330	34.88436	2.681104921	12.6601073591477
